"","station","cldd","cdd","qual","lat","long"
"1","AQW00061705","11565C",11565,"C",-14.3306,-170.7136
"2","CQC00914801","11040R",11040,"R",14.1717,145.2428
"3","FMW00040308","11948S",11948,"S",9.4833,138.0833
"4","FMW00040504","11291S",11291,"S",6.9667,158.2167
"5","GQW00041415","11480S",11480,"S",13.4836,144.7961
"6","PSW00040309","11606S",11606,"S",7.3333,134.4833
"7","RMW00040604","11795S",11795,"S",8.7333,167.7333
"8","RMW00040710","11721S",11721,"S",7.0833,171.3833
"9","RQC00660061","7415R",7415,"R",18.1747,-66.7978
"10","RQC00660152","10733R",10733,"R",17.9556,-66.2222
"11","RQC00660158","7751R",7751,"R",18.1281,-66.2642
"12","RQC00660410","10235R",10235,"R",18.4533,-66.6747
"13","RQC00660426","9291S",9291,"S",18.3494,-66.7525
"14","RQC00661901","8524R",8524,"R",18.1189,-66.1658
"15","RQC00662336","5114R",5114,"R",18.1547,-66.562
"16","RQC00662801","10222S",10222,"S",18.3808,-67.1569
"17","RQC00662934","9786R",9786,"R",18.3267,-66.3592
"18","RQC00663431","9880S",9880,"S",18.3361,-66.6667
"19","RQC00663657","10880R",10880,"R",18.3103,-65.6631
"20","RQC00664193","11287R",11287,"R",17.9783,-66.0875
"21","RQC00664276","10127S",10127,"S",18.2583,-65.9922
"22","RQC00664702","9944S",9944,"S",18.4653,-67.0525
"23","RQC00665064","10206R",10206,"R",18.2264,-65.9114
"24","RQC00665097","10294R",10294,"R",18.0331,-67.0722
"25","RQC00665693","11286R",11286,"R",17.9722,-67.0461
"26","RQC00665807","10146R",10146,"R",18.4308,-66.4661
"27","RQC00665908","7858R",7858,"R",18.1511,-66.9889
"28","RQC00666073","10528R",10528,"R",18.1875,-67.1378
"29","RQC00666258","10954R",10954,"R",18.0908,-67.9442
"30","RQC00666992","5588R",5588,"R",18.2708,-65.7592
"31","RQC00667292","10873S",10873,"S",18.0258,-66.5253
"32","RQC00668306","10592R",10592,"R",18.3906,-66.0542
"33","RQC00668881","10346R",10346,"R",18.3469,-67.0119
"34","RQC00669521","10571S",10571,"S",18.3283,-66.0164
"35","RQC00669608","9298R",9298,"R",18.2617,-66.6864
"36","RQW00011603","10534R",10534,"R",18.4981,-67.1294
"37","RQW00011630","11223R",11223,"R",18.255,-65.6408
"38","RQW00011641","11330S",11330,"S",18.4325,-66.0108
"39","USC00010160","5234S",5234,"S",32.9453,-85.9481
"40","USC00010178","5538R",5538,"R",33.1272,-88.155
"41","USC00010252","5591R",5591,"R",31.3072,-86.5225
"42","USC00010369","4796R",4796,"R",33.2942,-85.7789
"43","USC00010390","4981R",4981,"R",34.7753,-86.9508
"44","USC00010402","6187S",6187,"S",31.1819,-87.4389
"45","USC00010425","5495R",5495,"R",32.5992,-85.4653
"46","USC00010430","5702R",5702,"R",32.6,-85.5
"47","USC00010505","5361R",5361,"R",33.4528,-87.3572
"48","USC00010583","6420S",6420,"S",30.8839,-87.7853
"49","USC00010655","4623S",4623,"S",34.6908,-86.8825
"50","USC00010764","5361S",5361,"S",33.3953,-87.0078
"51","USC00011080","5950S",5950,"S",31.1414,-87.0486
"52","USC00011084","6117R",6117,"R",31.0581,-87.0547
"53","USC00011099","4479S",4479,"S",34.9786,-85.8008
"54","USC00011301","5952R",5952,"R",32.0289,-87.3167
"55","USC00011324","4790R",4790,"R",32.8236,-85.6561
"56","USC00011566","5775R",5775,"R",31.4714,-88.2503
"57","USC00011620","5437S",5437,"S",33.285,-86.3431
"58","USC00011694","5204R",5204,"R",32.8203,-86.6522
"59","USC00011725","5434R",5434,"R",31.8708,-85.45
"60","USC00011803","6080R",6080,"R",30.3878,-88.2281
"61","USC00012096","4594R",4594,"R",34.1925,-86.7972
"62","USC00012172","7240S",7240,"S",30.2506,-88.0775
"63","USC00012245","5395R",5395,"R",32.5192,-87.88
"64","USC00012675","6407R",6407,"R",31.2975,-85.8997
"65","USC00012730","6244R",6244,"R",32.0111,-85.09
"66","USC00012758","5942R",5942,"R",31.445,-86.9533
"67","USC00012813","6623C",6623,"C",30.5467,-87.8808
"68","USC00012840","4746R",4746,"R",34.3667,-86.8833
"69","USC00012883","5417R",5417,"R",33.6847,-87.8214
"70","USC00013105","5956R",5956,"R",31.3894,-87.4203
"71","USC00013154","5224S",5224,"S",34.0219,-85.9878
"72","USC00013160","5673S",5673,"S",32.8347,-88.1342
"73","USC00013251","6139R",6139,"R",31.0383,-85.8708
"74","USC00013511","6147R",6147,"R",32.7019,-87.5817
"75","USC00013519","5514S",5514,"S",31.79,-86.6086
"76","USC00013573","5102R",5102,"R",34.3344,-86.3297
"77","USC00013575","5170R",5170,"R",34.3347,-86.3294
"78","USC00013620","5572S",5572,"S",34.2314,-87.6353
"79","USC00013645","4806S",4806,"S",34.0967,-87.9914
"80","USC00013761","6376R",6376,"R",31.3625,-85.3397
"81","USC00013775","4692R",4692,"R",33.6483,-85.6006
"82","USC00013816","5090S",5090,"S",31.8814,-86.2503
"83","USC00014193","5915R",5915,"R",31.5253,-87.9278
"84","USC00014226","4921R",4921,"R",33.9047,-87.3153
"85","USC00014502","4955R",4955,"R",32.9069,-85.4336
"86","USC00014798","5575R",5575,"R",32.5811,-88.1897
"87","USC00015121","5600R",5600,"R",32.4714,-87.2314
"88","USC00015140","5230R",5230,"R",32.6667,-85.9167
"89","USC00015439","5805R",5805,"R",32.4419,-85.8889
"90","USC00015553","5812R",5812,"R",32.26,-86.2181
"91","USC00015635","4904S",4904,"S",34.4883,-87.2989
"92","USC00016121","4973R",4973,"R",33.9478,-86.4692
"93","USC00016129","5102R",5102,"R",32.6592,-85.4492
"94","USC00016478","4886S",4886,"S",33.6906,-86.685
"95","USC00016988","6305S",6305,"S",30.5653,-87.7017
"96","USC00017020","5189R",5189,"R",32.8711,-86.1758
"97","USC00017025","4905R",4905,"R",33.1581,-85.2911
"98","USC00017131","4826R",4826,"R",34.51,-87.7319
"99","USC00017157","4838R",4838,"R",34.1736,-86.8133
"100","USC00017207","4560S",4560,"S",34.2878,-85.9681
"101","USC00017304","4741R",4741,"R",34.6736,-86.0536
"102","USC00017366","5947R",5947,"R",32.4111,-87.0144
"103","USC00017999","4980S",4980,"S",33.2053,-86.2114
"104","USC00018024","4975S",4975,"S",33.4164,-86.135
"105","USC00018178","5920S",5920,"S",31.9172,-87.7347
"106","USC00018209","5618S",5618,"S",32.9206,-86.6708
"107","USC00018323","5889R",5889,"R",31.8075,-85.9722
"108","USC00018380","6029S",6029,"S",33.2119,-87.6161
"109","USC00018438","5435S",5435,"S",32.0142,-85.7464
"110","USC00018469","4381S",4381,"S",34.5667,-85.6128
"111","USC00018517","5230R",5230,"R",33.7392,-88.1275
"112","USC00018867","5667R",5667,"R",31.6508,-87.7097
"113","USC00018998","4725R",4725,"R",33.9111,-87.8475
"114","USC00020060","6107R",6107,"R",33.9433,-113.1875
"115","USC00020100","7770S",7770,"S",34.2281,-113.5778
"116","USC00020159","1117R",1117,"R",33.8492,-109.1469
