"","LATITUDE","LONGITUDE","POPULATION","gdd","precip","TRACT"
"1",32.475973,-86.486772,1912,6708,5307,"020100"
"2",32.471763,-86.472782,2170,6708,5307,"020200"
"3",32.474011,-86.459639,3373,6708,5307,"020300"
"4",32.468685,-86.443021,4386,6708,5307,"020400"
"5",32.46533,-86.423696,10766,6708,5307,"020500"
"6",32.44256,-86.477609,3668,6708,5307,"020600"
"7",32.444477,-86.447699,2891,6708,5307,"020700"
"8",32.443487,-86.522529,3081,6708,5307,"020801"
"9",32.529016,-86.480528,10435,6708,5307,"020802"
"10",32.634754,-86.504589,5675,6035,5788,"020900"
"11",32.608121,-86.728917,2894,6035,5788,"021000"
"12",32.467356,-86.696724,3320,6657,NA,"021100"
"13",31.055573,-87.774011,3804,7135,6890,"010100"
"14",30.946684,-87.685762,2902,7135,6890,"010200"
"15",30.808323,-87.840386,7826,7135,6890,"010300"
"16",30.747061,-87.696704,4736,7135,6890,"010400"
"17",30.892249,-87.777111,4815,7135,6890,"010500"
"18",30.859324,-87.772897,3325,7135,6890,"010600"
"19",30.675829,-87.89348,7882,7306,NA,"010701"
"20",30.627093,-87.844192,13166,7306,NA,"010703"
"21",30.644471,-87.881857,5055,7306,NA,"010704"
"22",30.633961,-87.89464,8331,7306,NA,"010705"
"23",30.595069,-87.898694,6861,7306,NA,"010800"
"24",30.605283,-87.763527,5173,7085,NA,"010903"
"25",30.573494,-87.613192,6831,7085,NA,"010904"
"26",30.543642,-87.743921,8011,7085,NA,"010905"
"27",30.561646,-87.693799,4302,7085,NA,"010906"
"28",30.490009,-87.703579,4305,7085,NA,"011000"
"29",30.519236,-87.857077,8397,7306,NA,"011101"
"30",30.47619,-87.848135,3715,7306,NA,"011102"
"31",30.534362,-87.891841,4230,7306,NA,"011201"
"32",30.511587,-87.904194,5065,7306,NA,"011202"
"33",30.435858,-87.874747,4487,7306,NA,"011300"
"34",30.391982,-87.759904,10632,7085,NA,"011401"
"35",30.319479,-87.678887,9131,7085,NA,"011403"
"36",30.293296,-87.540219,3832,7378,NA,"011405"
"37",30.280643,-87.636466,3412,7378,NA,"011406"
"38",30.261402,-87.71947,4799,7085,NA,"011407"
"39",30.235377,-87.903638,433,7868,NA,"011408"
