"","cdd","city","longitude","latitude","population"
"1",3668,"New York",-74.0059413,40.7127837,"8405837"
"2",5648,"Los Angeles",-118.2436849,34.0522342,"3884307"
"3",3531,"Chicago",-87.6297982,41.8781136,"2718782"
"4",7725,"Houston",-95.3698028,29.7604267,"2195914"
"5",4239,"Philadelphia",-75.1652215,39.9525839,"1553165"
"6",9198,"Phoenix",-112.0740373,33.4483771,"1513367"
"7",7446,"San Antonio",-98.4936282,29.4241219,"1409019"
"8",4974,"San Diego",-117.1610838,32.715738,"1355896"
"9",6785,"Dallas",-96.7969879,32.7766642,"1257676"
"10",4013,"San Jose",-121.8863286,37.3382082,"998537"
"11",7342,"Austin",-97.7430608,30.267153,"885400"
"12",3330,"Indianapolis",-86.158068,39.768403,"843393"
"13",7505,"Jacksonville",-81.655651,30.3321838,"842583"
"14",2757,"San Francisco",-122.4194155,37.7749295,"837442"
"15",3457,"Columbus",-82.9987942,39.9611755,"822553"
"16",4623,"Charlotte",-80.8431267,35.2270869,"792862"
"17",6334,"Fort Worth",-97.3307658,32.7554883,"792727"
"18",3032,"Detroit",-83.0457538,42.331427,"688701"
"19",5848,"El Paso",-106.4424559,31.7775757,"674433"
"20",5685,"Memphis",-90.0489801,35.1495343,"653450"
"21",2228,"Seattle",-122.3320708,47.6062095,"652405"
"22",3232,"Denver",-104.990251,39.7392358,"649495"
"23",4337,"Washington",-77.0368707,38.9071923,"646449"
"24",2936,"Boston",-71.0588801,42.3600825,"645966"
"25",4723,"Nashville-Davidson",-86.7816016,36.1626638,"634464"
"26",5291,"Baltimore",-76.6121893,39.2903848,"622104"
"27",5325,"Oklahoma City",-97.5164276,35.4675602,"610613"
"28",4567,"Louisville/Jefferson County",-85.7584557,38.2526647,"609893"
"29",2617,"Portland",-122.6764816,45.5230622,"609456"
"30",7024,"Las Vegas",-115.1398296,36.1699412,"603488"
"31",2958,"Milwaukee",-87.9064736,43.0389025,"599164"
"32",4065,"Albuquerque",-106.6055534,35.0853336,"556495"
"33",7475,"Tucson",-110.926479,32.2217429,"526116"
"34",5601,"Fresno",-119.7725868,36.7468422,"509924"
"35",4917,"Sacramento",-121.4943996,38.5815719,"479686"
