"","Region","City","TreeID","Species","DBH","Leaf","AGE","ScientificName"
"1","InlVal","Modesto, CA",1,"ACSA1",2.5,2.5,0,"Acer saccharinum"
"2","InlVal","Modesto, CA",2,"BEPE",2.5,1.9,0,"Betula pendula"
"3","InlVal","Modesto, CA",3,"CESI4",2.5,2.2,0,"Celtis sinensis"
"4","InlVal","Modesto, CA",4,"CICA",2.5,2,0,"Cinnamomum camphora"
"5","InlVal","Modesto, CA",5,"FRAN_R",2.5,2.2,0,"Fraxinus angustifolia 'Raywood'"
"6","InlVal","Modesto, CA",6,"FREX_H",2.5,2.2,0,"Fraxinus excelsior 'Hessei'"
"7","InlVal","Modesto, CA",7,"FRHO",2.5,2.2,0,"Fraxinus holotricha"
"8","InlVal","Modesto, CA",8,"FRPE_M",2.5,2.2,0,"Fraxinus pennsylvanica 'Marshall'"
"9","InlVal","Modesto, CA",9,"FRVE_G",2.5,2.1,0,"Fraxinus velutina 'Modesto'"
"10","InlVal","Modesto, CA",10,"GIBI",2.5,1.3,0,"Ginkgo biloba"
"11","InlVal","Modesto, CA",11,"GLTR",2.5,1.2,0,"Gleditsia triacanthos"
"12","InlVal","Modesto, CA",12,"KOPA",2.5,1.6,0,"Koelreuteria paniculata"
"13","InlVal","Modesto, CA",13,"LAIN",2.5,0.6,0,"Lagerstroemia indica"
"14","InlVal","Modesto, CA",14,"LIST",2.5,3.3,0,"Liquidambar styraciflua"
"15","InlVal","Modesto, CA",15,"MAGR",2.5,3.1,0,"Magnolia grandiflora"
"16","InlVal","Modesto, CA",16,"PICH",2.5,1.2,0,"Pistacia chinensis"
"17","InlVal","Modesto, CA",17,"PITH",2.5,3.1,0,"Pinus thunbergiana"
"18","InlVal","Modesto, CA",18,"PLAC",2.5,5.2,0,"Platanus x acerifolia"
"19","InlVal","Modesto, CA",19,"PRCE",2.5,2.1,0,"Prunus cerasifera"
"20","InlVal","Modesto, CA",20,"PYCA_B",2.5,2.8,0,"Pyrus calleryana 'Bradford'"
"21","InlVal","Modesto, CA",21,"QUIL2",2.5,1.9,0,"Quercus ilex"
"22","InlVal","Modesto, CA",22,"ZESE",2.5,1.8,0,"Zelkova serrata"
"23","InlVal","Modesto, CA",75,"PYCA_B",28.6,241,14,"Pyrus calleryana 'Bradford'"
"24","InlVal","Modesto, CA",369,"PYCA_B",12.6,58.9,8,"Pyrus calleryana 'Bradford'"
"25","InlVal","Modesto, CA",406,"PITH",39.1,147.7,23,"Pinus thunbergiana"
"26","InlVal","Modesto, CA",540,"LIST",27.4,183,18,"Liquidambar styraciflua"
"27","InlVal","Modesto, CA",589,"FRHO",31.4,107.4,22,"Fraxinus holotricha"
"28","InlVal","Modesto, CA",658,"BEPE",26.1,120.9,22,"Betula pendula"
"29","InlVal","Modesto, CA",719,"QUIL2",33.1,222.9,23,"Quercus ilex"
"30","InlVal","Modesto, CA",1091,"PYCA_B",10.7,30.9,9,"Pyrus calleryana 'Bradford'"
"31","InlVal","Modesto, CA",1213,"BEPE",23.5,229.3,33,"Betula pendula"
"32","InlVal","Modesto, CA",1251,"QUIL2",32.2,183.6,23,"Quercus ilex"
"33","InlVal","Modesto, CA",1432,"CICA",24.4,44.1,14,"Cinnamomum camphora"
"34","InlVal","Modesto, CA",1883,"QUIL2",60.2,628.8,30,"Quercus ilex"
"35","InlVal","Modesto, CA",1938,"BEPE",14.9,68.3,18,"Betula pendula"
"36","InlVal","Modesto, CA",2015,"LIST",33.6,184.7,34,"Liquidambar styraciflua"
"37","InlVal","Modesto, CA",2037,"PICH",44.5,420.7,34,"Pistacia chinensis"
"38","InlVal","Modesto, CA",2259,"PICH",26.5,177.6,34,"Pistacia chinensis"
"39","InlVal","Modesto, CA",2526,"PICH",26.1,200.4,34,"Pistacia chinensis"
"40","InlVal","Modesto, CA",2642,"KOPA",8.8,17,5,"Koelreuteria paniculata"
"41","InlVal","Modesto, CA",2644,"KOPA",5.8,14.5,5,"Koelreuteria paniculata"
"42","InlVal","Modesto, CA",2884,"PICH",23.4,148.6,34,"Pistacia chinensis"
"43","InlVal","Modesto, CA",2961,"ACSA1",40.1,396,9,"Acer saccharinum"
"44","InlVal","Modesto, CA",3001,"PRCE",10,11.8,5,"Prunus cerasifera"
"45","InlVal","Modesto, CA",3184,"PICH",26.6,152.6,17,"Pistacia chinensis"
"46","InlVal","Modesto, CA",3375,"QUIL2",45.5,377.9,26,"Quercus ilex"
"47","InlVal","Modesto, CA",3502,"KOPA",7.6,14.9,7,"Koelreuteria paniculata"
"48","InlVal","Modesto, CA",3523,"KOPA",5.9,6.7,5,"Koelreuteria paniculata"
"49","InlVal","Modesto, CA",3775,"FRVE_G",39.3,283,26,"Fraxinus velutina 'Modesto'"
"50","InlVal","Modesto, CA",3777,"FRVE_G",34.4,199.1,26,"Fraxinus velutina 'Modesto'"
"51","InlVal","Modesto, CA",3844,"PRCE",19.4,38.5,24,"Prunus cerasifera"
"52","InlVal","Modesto, CA",4067,"LIST",29.2,97.4,39,"Liquidambar styraciflua"
"53","InlVal","Modesto, CA",4200,"FRVE_G",54.3,204.7,28,"Fraxinus velutina 'Modesto'"
"54","InlVal","Modesto, CA",4215,"PRCE",20.9,81.4,19,"Prunus cerasifera"
"55","InlVal","Modesto, CA",4556,"KOPA",5.1,18.6,3,"Koelreuteria paniculata"
"56","InlVal","Modesto, CA",4614,"CICA",7.4,15.3,6,"Cinnamomum camphora"
"57","InlVal","Modesto, CA",4741,"FRVE_G",49.7,302,28,"Fraxinus velutina 'Modesto'"
"58","InlVal","Modesto, CA",4864,"FRHO",36.5,384.2,19,"Fraxinus holotricha"
"59","InlVal","Modesto, CA",5016,"ZESE",36.6,277.7,18,"Zelkova serrata"
"60","InlVal","Modesto, CA",5217,"PLAC",18.7,86.7,5,"Platanus x acerifolia"
"61","InlVal","Modesto, CA",5355,"FREX_H",5.5,6.3,6,"Fraxinus excelsior 'Hessei'"
"62","InlVal","Modesto, CA",5562,"PLAC",16.4,39.8,6,"Platanus x acerifolia"
"63","InlVal","Modesto, CA",6049,"BEPE",9.9,33.1,23,"Betula pendula"
"64","InlVal","Modesto, CA",6156,"PICH",20.2,101.8,30,"Pistacia chinensis"
"65","InlVal","Modesto, CA",6525,"PITH",37,209.5,34,"Pinus thunbergiana"
"66","InlVal","Modesto, CA",6630,"PYCA_B",57.8,359.1,38,"Pyrus calleryana 'Bradford'"
"67","InlVal","Modesto, CA",6713,"LAIN",18.8,38.7,24,"Lagerstroemia indica"
"68","InlVal","Modesto, CA",6818,"PRCE",18.4,18.9,29,"Prunus cerasifera"
"69","InlVal","Modesto, CA",7018,"FRAN_R",31.6,68.8,24,"Fraxinus angustifolia 'Raywood'"
"70","InlVal","Modesto, CA",7026,"FRAN_R",43,173.6,24,"Fraxinus angustifolia 'Raywood'"
"71","InlVal","Modesto, CA",7079,"LAIN",17.9,29.3,29,"Lagerstroemia indica"
"72","InlVal","Modesto, CA",7321,"PITH",43.7,203.8,34,"Pinus thunbergiana"
"73","InlVal","Modesto, CA",7504,"CICA",30.9,163.6,11,"Cinnamomum camphora"
"74","InlVal","Modesto, CA",7748,"LAIN",8.1,48.8,29,"Lagerstroemia indica"
"75","InlVal","Modesto, CA",7835,"BEPE",23,104.5,24,"Betula pendula"
"76","InlVal","Modesto, CA",7838,"PITH",32.1,73.7,25,"Pinus thunbergiana"
