"","gdd","precip","City","Longitude","Latitude"
"1",8948,1367,"Orlando, FL",-81.37924,28.53834
"2",7055,1555,"Charleston, SC",-79.9311,32.7765
"3",6246,523,"Claremont, CA",-117.7198,34.0967
"4",5748,315,"Modesto, CA",-120.99688,37.6391
"5",5414,470,"Sacramento, CA",-121.4944,38.58157
"6",4806,250,"Albuquerque, NM",-106.60555,35.08533
"7",3982,392,"Indianapolis, IN",-86.15807,39.7684
"8",3629,622,"Minneapolis, MN",-93.26501,44.97775
"9",3612,452,"Fort Collins, CO",-105.08442,40.58526
"10",4047,564,"Berkeley, CA",-122.27275,37.87159
"11",4356,1041,"Queens, NY",-73.7949,40.7282
"12",6772,1059,"Longview, WA",-94.74049,32.5007
"13",5456,1426,"Charlotte, NC",-80.84313,35.22709
"14",4989,570,"Santa Monica, CA",-118.49119,34.01945
"15",8153,174,"Glendale, AZ",-112.186,33.5387
"16",3689,417,"Boise, ID",-116.2023,43.615
"17",10486,2206,"Honolulu, HI",-157.85833,21.30694
