"","station","grdd","gdd","qual","lat","long"
"1","AQW00061705","12073C",12073,"C",-14.3306,-170.7136
"2","CQC00914801","11656R",11656,"R",14.1717,145.2428
"3","FMW00040308","12317S",12317,"S",9.4833,138.0833
"4","FMW00040504","11559S",11559,"S",6.9667,158.2167
"5","GQW00041415","12002S",12002,"S",13.4836,144.7961
"6","PSW00040309","12070S",12070,"S",7.3333,134.4833
"7","RMW00040604","12369S",12369,"S",8.7333,167.7333
"8","RMW00040710","12303S",12303,"S",7.0833,171.3833
"9","RQC00660061","8130R",8130,"R",18.1747,-66.7978
"10","RQC00660152","11063R",11063,"R",17.9556,-66.2222
"11","RQC00660158","8480R",8480,"R",18.1281,-66.2642
"12","RQC00660410","10434R",10434,"R",18.4533,-66.6747
"13","RQC00660426","9828S",9828,"S",18.3494,-66.7525
"14","RQC00661901","9244R",9244,"R",18.1189,-66.1658
"15","RQC00662336","5845R",5845,"R",18.1547,-66.562
"16","RQC00662801","10499S",10499,"S",18.3808,-67.1569
"17","RQC00662934","10178R",10178,"R",18.3267,-66.3592
"18","RQC00663431","10247S",10247,"S",18.3361,-66.6667
"19","RQC00663657","11262R",11262,"R",18.3103,-65.6631
"20","RQC00664193","11662R",11662,"R",17.9783,-66.0875
"21","RQC00664276","10416S",10416,"S",18.2583,-65.9922
"22","RQC00664702","10523S",10523,"S",18.4653,-67.0525
"23","RQC00665064","10590R",10590,"R",18.2264,-65.9114
"24","RQC00665097","10365R",10365,"R",18.0331,-67.0722
"25","RQC00665693","11416R",11416,"R",17.9722,-67.0461
"26","RQC00665807","10651R",10651,"R",18.4308,-66.4661
"27","RQC00665908","8579R",8579,"R",18.1511,-66.9889
"28","RQC00666073","10701R",10701,"R",18.1875,-67.1378
"29","RQC00666258","11069R",11069,"R",18.0908,-67.9442
"30","RQC00666992","6318R",6318,"R",18.2708,-65.7592
"31","RQC00667292","11023S",11023,"S",18.0258,-66.5253
"32","RQC00668306","10894R",10894,"R",18.3906,-66.0542
"33","RQC00668881","10130R",10130,"R",18.3469,-67.0119
"34","RQC00669521","10866S",10866,"S",18.3283,-66.0164
"35","RQC00669608","9655R",9655,"R",18.2617,-66.6864
"36","RQW00011603","10977R",10977,"R",18.4981,-67.1294
"37","RQW00011630","11684R",11684,"R",18.255,-65.6408
"38","RQW00011641","11744S",11744,"S",18.4325,-66.0108
"39","USC00010160","6113S",6113,"S",32.9453,-85.9481
"40","USC00010178","6329R",6329,"R",33.1272,-88.155
"41","USC00010252","6605R",6605,"R",31.3072,-86.5225
"42","USC00010369","5747R",5747,"R",33.2942,-85.7789
"43","USC00010390","5732R",5732,"R",34.7753,-86.9508
"44","USC00010402","6900S",6900,"S",31.1819,-87.4389
"45","USC00010425","6349R",6349,"R",32.5992,-85.4653
"46","USC00010430","6443R",6443,"R",32.6,-85.5
"47","USC00010505","6116R",6116,"R",33.4528,-87.3572
"48","USC00010583","7135S",7135,"S",30.8839,-87.7853
"49","USC00010655","5430S",5430,"S",34.6908,-86.8825
"50","USC00010764","6130S",6130,"S",33.3953,-87.0078
"51","USC00011080","6773S",6773,"S",31.1414,-87.0486
"52","USC00011084","6962R",6962,"R",31.0581,-87.0547
"53","USC00011099","5331S",5331,"S",34.9786,-85.8008
"54","USC00011301","6629R",6629,"R",32.0289,-87.3167
"55","USC00011324","5817R",5817,"R",32.8236,-85.6561
"56","USC00011566","6627R",6627,"R",31.4714,-88.2503
"57","USC00011620","6323S",6323,"S",33.285,-86.3431
"58","USC00011694","6035R",6035,"R",32.8203,-86.6522
"59","USC00011725","6323R",6323,"R",31.8708,-85.45
"60","USC00011803","6951R",6951,"R",30.3878,-88.2281
"61","USC00012096","5434R",5434,"R",34.1925,-86.7972
"62","USC00012172","7868S",7868,"S",30.2506,-88.0775
"63","USC00012245","6195R",6195,"R",32.5192,-87.88
"64","USC00012675","7058R",7058,"R",31.2975,-85.8997
"65","USC00012730","6953R",6953,"R",32.0111,-85.09
"66","USC00012758","6713R",6713,"R",31.445,-86.9533
"67","USC00012813","7306C",7306,"C",30.5467,-87.8808
"68","USC00012840","5572R",5572,"R",34.3667,-86.8833
"69","USC00012883","6174R",6174,"R",33.6847,-87.8214
"70","USC00013105","6714R",6714,"R",31.3894,-87.4203
"71","USC00013154","5974S",5974,"S",34.0219,-85.9878
"72","USC00013160","6397S",6397,"S",32.8347,-88.1342
"73","USC00013251","6927R",6927,"R",31.0383,-85.8708
"74","USC00013511","6841R",6841,"R",32.7019,-87.5817
"75","USC00013519","6378S",6378,"S",31.79,-86.6086
"76","USC00013573","5828R",5828,"R",34.3344,-86.3297
"77","USC00013575","5856R",5856,"R",34.3347,-86.3294
"78","USC00013620","6210S",6210,"S",34.2314,-87.6353
"79","USC00013645","5724S",5724,"S",34.0967,-87.9914
"80","USC00013761","6998R",6998,"R",31.3625,-85.3397
"81","USC00013775","5632R",5632,"R",33.6483,-85.6006
"82","USC00013816","6022S",6022,"S",31.8814,-86.2503
"83","USC00014193","6718R",6718,"R",31.5253,-87.9278
"84","USC00014226","5801R",5801,"R",33.9047,-87.3153
"85","USC00014502","5934R",5934,"R",32.9069,-85.4336
"86","USC00014798","6407R",6407,"R",32.5811,-88.1897
"87","USC00015121","6379R",6379,"R",32.4714,-87.2314
"88","USC00015140","6084R",6084,"R",32.6667,-85.9167
"89","USC00015439","6583R",6583,"R",32.4419,-85.8889
"90","USC00015553","6589R",6589,"R",32.26,-86.2181
"91","USC00015635","5707S",5707,"S",34.4883,-87.2989
"92","USC00016121","5816R",5816,"R",33.9478,-86.4692
"93","USC00016129","6018R",6018,"R",32.6592,-85.4492
"94","USC00016478","5763S",5763,"S",33.6906,-86.685
"95","USC00016988","7085S",7085,"S",30.5653,-87.7017
"96","USC00017020","6049R",6049,"R",32.8711,-86.1758
"97","USC00017025","5856R",5856,"R",33.1581,-85.2911
"98","USC00017131","5615R",5615,"R",34.51,-87.7319
"99","USC00017157","5732R",5732,"R",34.1736,-86.8133
"100","USC00017207","5353S",5353,"S",34.2878,-85.9681
"101","USC00017304","5604R",5604,"R",34.6736,-86.0536
"102","USC00017366","6657R",6657,"R",32.4111,-87.0144
"103","USC00017999","5898S",5898,"S",33.2053,-86.2114
"104","USC00018024","5888S",5888,"S",33.4164,-86.135
"105","USC00018178","6639S",6639,"S",31.9172,-87.7347
"106","USC00018209","6362S",6362,"S",32.9206,-86.6708
"107","USC00018323","6651R",6651,"R",31.8075,-85.9722
"108","USC00018380","6692S",6692,"S",33.2119,-87.6161
"109","USC00018438","6348S",6348,"S",32.0142,-85.7464
"110","USC00018469","5301S",5301,"S",34.5667,-85.6128
"111","USC00018517","6029R",6029,"R",33.7392,-88.1275
"112","USC00018867","6558R",6558,"R",31.6508,-87.7097
"113","USC00018998","5627R",5627,"R",33.9111,-87.8475
"114","USC00020060","6608R",6608,"R",33.9433,-113.1875
"115","USC00020100","7564S",7564,"S",34.2281,-113.5778
"116","USC00020159","2672R",2672,"R",33.8492,-109.1469
"117","USC00020287","6792S",6792,"S",31.9792,-111.3831
"118","USC00020288","7708R",7708,"R",33.4625,-111.4814
"119","USC00020586","5366R",5366,"R",34.5972,-113.1739
"120","USC00020632","7773R",7773,"R",33.8097,-111.6497
"121","USC00020670","5793R",5793,"R",34.6417,-111.7831
"122","USC00020672","6765R",6765,"R",36.8969,-113.9425
"123","USC00020678","2664R",2664,"R",35.23,-111.8214
"124","USC00020683","6136R",6136,"R",31.8806,-110.2403
"125","USC00020750","3498S",3498,"S",36.6778,-110.5411
"126","USC00020775","5203R",5203,"R",31.4475,-109.9289
"127","USC00020808","4094R",4094,"R",33.4783,-109.7517
"128","USC00020871","3261R",3261,"R",34.6108,-111.1922
"129","USC00020949","7574S",7574,"S",33.9431,-114.0242
"130","USC00020958","6291S",6291,"S",32.325,-109.4917
"131","USC00021001","2158R",2158,"R",36.2147,-112.062
"132","USC00021026","7727R",7727,"R",33.3761,-112.5828
"133","USC00021050","8244S",8244,"S",35.1411,-114.5686
"134","USC00021169","5353R",5353,"R",35.8833,-111.4
"135","USC00021231","5292S",5292,"S",31.5589,-110.5294
"136","USC00021248","4225S",4225,"S",36.1533,-109.5394
"137","USC00021282","7619R",7619,"R",33.8161,-111.9019
"138","USC00021306","7800R",7800,"R",32.8878,-111.7117
"139","USC00021314","7540S",7540,"S",32.9947,-111.5367
"140","USC00021330","6296S",6296,"S",32.3222,-110.4147
"141","USC00021353","7597S",7597,"S",33.9825,-112.3617
"142","USC00021514","7669R",7669,"R",33.2058,-111.6819
"143","USC00021574","3123R",3123,"R",34.54,-110.9153
"144","USC00021614","6096R",6096,"R",34.3494,-111.6981
"145","USC00021664","5306R",5306,"R",32.0061,-109.3572
"146","USC00021849","6844R",6844,"R",33.0561,-109.3072
"147","USC00021920","4279R",4279,"R",36.9936,-112.9719
"148","USC00022109","5670S",5670,"S",34.305,-112.165
