"","station","precip_qual","precip","qual","lat","long"
"1","AQW00061705","12263C",12263,"C",-14.3306,-170.7136
"2","CQC00914801","9124R",9124,"R",14.1717,145.2428
"3","FMC00914446","11115R",11115,"R",9.6053,138.1786
"4","FMC00914482","15905R",15905,"R",6.8456,158.3064
"5","FMC00914720","15301R",15301,"R",6.2167,160.7
"6","FMC00914761","10064R",10064,"R",7.35,149.2
"7","FMC00914831","11391R",11391,"R",9.55,138.15
"8","FMC00914892","10152R",10152,"R",10.0333,139.8
"9","FMW00040308","12093C",12093,"C",9.4833,138.0833
"10","FMW00040504","18122S",18122,"S",6.9667,158.2167
"11","FMW00040505","13454S",13454,"S",7.45,151.8333
"12","GQW00041415","9764S",9764,"S",13.4836,144.7961
"13","PSC00914519","14540R",14540,"R",7.45,134.5
"14","PSW00040309","14764C",14764,"C",7.3333,134.4833
"15","RMW00040604","9372S",9372,"S",8.7333,167.7333
"16","RMW00040710","12742C",12742,"C",7.0833,171.3833
"17","RQC00660061","7861S",7861,"S",18.1747,-66.7978
"18","RQC00660152","3972S",3972,"S",17.9556,-66.2222
"19","RQC00660158","6023R",6023,"R",18.1281,-66.2642
"20","RQC00660426","8413S",8413,"S",18.3494,-66.7525
"21","RQC00661901","5909R",5909,"R",18.1189,-66.1658
"22","RQC00662336","9932R",9932,"R",18.1547,-66.562
"23","RQC00662801","7578R",7578,"R",18.3808,-67.1569
"24","RQC00662934","7776R",7776,"R",18.3267,-66.3592
"25","RQC00663409","6445R",6445,"R",18.4722,-66.3058
"26","RQC00663431","7646S",7646,"S",18.3361,-66.6667
"27","RQC00663657","6729R",6729,"R",18.3103,-65.6631
"28","RQC00664193","5457R",5457,"R",17.9783,-66.0875
"29","RQC00664276","6506S",6506,"S",18.2583,-65.9922
"30","RQC00664702","6496R",6496,"R",18.4653,-67.0525
"31","RQC00665064","6837S",6837,"S",18.2264,-65.9114
"32","RQC00665097","4798R",4798,"R",18.0331,-67.0722
"33","RQC00665807","6164R",6164,"R",18.4308,-66.4661
"34","RQC00666073","5945R",5945,"R",18.1875,-67.1378
"35","RQC00666258","3901R",3901,"R",18.0908,-67.9442
"36","RQC00666992","17248R",17248,"R",18.2708,-65.7592
"37","RQC00667292","3847S",3847,"S",18.0258,-66.5253
"38","RQC00668306","7078R",7078,"R",18.3906,-66.0542
"39","RQC00669521","7056R",7056,"R",18.3283,-66.0164
"40","RQC00669608","7178R",7178,"R",18.2617,-66.6864
"41","RQW00011603","5472R",5472,"R",18.4981,-67.1294
"42","RQW00011630","5234R",5234,"R",18.255,-65.6408
"43","RQW00011641","5635S",5635,"S",18.4325,-66.0108
"44","USC00010063","5824R",5824,"R",34.2553,-87.1814
"45","USC00010160","5562S",5562,"S",32.9453,-85.9481
"46","USC00010178","5617R",5617,"R",33.1272,-88.155
"47","USC00010252","5997R",5997,"R",31.3072,-86.5225
"48","USC00010369","5815R",5815,"R",33.2942,-85.7789
"49","USC00010390","5689R",5689,"R",34.7753,-86.9508
"50","USC00010402","6269R",6269,"R",31.1819,-87.4389
"51","USC00010425","5357R",5357,"R",32.5992,-85.4653
"52","USC00010430","5255R",5255,"R",32.6,-85.5
"53","USC00010505","5984S",5984,"S",33.4528,-87.3572
"54","USC00010583","6890S",6890,"S",30.8839,-87.7853
"55","USC00010655","5321R",5321,"R",34.6908,-86.8825
"56","USC00010764","5712S",5712,"S",33.3953,-87.0078
"57","USC00011080","7073S",7073,"S",31.1414,-87.0486
"58","USC00011084","6585S",6585,"S",31.0581,-87.0547
"59","USC00011099","6011R",6011,"R",34.9786,-85.8008
"60","USC00011301","5585R",5585,"R",32.0289,-87.3167
"61","USC00011620","5347S",5347,"S",33.285,-86.3431
"62","USC00011694","5788R",5788,"R",32.8203,-86.6522
"63","USC00012096","5862R",5862,"R",34.1925,-86.7972
"64","USC00012172","6138R",6138,"R",30.2506,-88.0775
"65","USC00012245","5452S",5452,"S",32.5192,-87.88
"66","USC00012675","5431R",5431,"R",31.2975,-85.8997
"67","USC00012730","5014R",5014,"R",32.0111,-85.09
"68","USC00012758","6102S",6102,"S",31.445,-86.9533
"69","USC00012813","6787S",6787,"S",30.5467,-87.8808
"70","USC00012840","5404R",5404,"R",34.3667,-86.8833
"71","USC00012883","5550R",5550,"R",33.6847,-87.8214
"72","USC00013043","5413R",5413,"R",34.4406,-85.7236
"73","USC00013154","5459R",5459,"R",34.0219,-85.9878
"74","USC00013160","5266S",5266,"S",32.8347,-88.1342
"75","USC00013251","5911S",5911,"S",31.0383,-85.8708
"76","USC00013511","5348S",5348,"S",32.7019,-87.5817
"77","USC00013519","5736S",5736,"S",31.79,-86.6086
"78","USC00013573","5333R",5333,"R",34.3344,-86.3297
"79","USC00013575","5480R",5480,"R",34.3347,-86.3294
"80","USC00013620","6225R",6225,"R",34.2314,-87.6353
"81","USC00013645","5972S",5972,"S",34.0967,-87.9914
"82","USC00013655","5686R",5686,"R",34.0675,-86.7917
"83","USC00013761","5377S",5377,"S",31.3625,-85.3397
"84","USC00013775","5505S",5505,"S",33.6483,-85.6006
"85","USC00013781","5503R",5503,"R",33.2725,-86.8336
"86","USC00013816","5572R",5572,"R",31.8814,-86.2503
